CTUID,cisr_dim1,cisr_dim2,cisr_dim3,cisr_score,cisr_quintile,cisv_dim1,cisv_dim2,cisv_dim3,cisv_dim4,cisv_score,cisv_quintile
5350378.03,0.2092,0.1016,0.4478,0.2529,3.8182,1.6744,-0.3417,0.0366,-0.5972,0.193,3.9091
5350378.04,0.2599,-0.0803,0.258,0.1459,3.5556,1.9952,0.073,0.4049,-0.6616,0.4529,4.4444
5350378.05,0.116,0.101,0.1459,0.121,3.4,1.2417,0.0877,0.169,-0.7961,0.1756,4.0
5350378.06,0.0946,0.0287,0.334,0.1524,3.4,1.7372,-0.1518,0.197,-0.6367,0.2864,4.1
5350378.07,0.1609,0.0526,0.2025,0.1387,3.3333,2.3584,0.4179,0.1356,-1.2287,0.4208,4.3333
5350378.08,-0.2716,0.204,0.0765,0.003,2.9,2.6905,0.6835,0.5919,-1.8574,0.5271,4.5
5350378.11,0.1965,-0.0871,0.4366,0.182,3.6,1.918,-0.158,0.3291,-0.6994,0.3474,4.2
5350378.12,0.2315,-0.6491,-0.226,-0.2145,2.5714,2.0774,0.8056,0.3936,-0.1936,0.7707,4.4286
5350378.14,0.4281,0.2389,-0.5724,0.0315,3.2,2.9495,0.8469,0.5352,-2.2599,0.5179,4.6
5350378.16,-0.1244,0.2104,0.327,0.1377,3.2857,1.6747,0.259,0.291,-0.6896,0.3838,4.1429
5350378.17,0.1418,-0.1767,0.5283,0.1645,3.4286,1.6756,-0.2114,0.43,-0.4082,0.3715,3.7143
5350378.18,-0.3329,-0.252,0.062,-0.1743,2.0,4.0967,1.8966,0.0859,-0.9998,1.2699,5.0
5350378.19,-0.3843,0.401,0.3373,0.118,3.3333,2.6462,0.3341,0.7325,-2.1594,0.3883,4.2222
5350378.20,-0.0894,-0.2878,-0.4016,-0.2596,2.0,4.1871,2.5735,-0.0268,-0.7986,1.4838,5.0
5350378.21,-0.4351,0.3191,0.1461,0.01,3.0,3.0082,0.7333,1.1077,-2.6201,0.5573,5.0
5350378.22,-0.505,0.2332,0.621,0.1164,3.5,3.3858,0.7917,1.2266,-2.8929,0.6278,5.0
5350378.23,0.5117,0.4163,-0.3213,0.2022,3.5714,2.6948,0.4414,0.1542,-1.943,0.3368,4.0
5350378.24,0.0388,0.2116,-0.3719,-0.0405,3.0,2.7821,0.9872,0.5019,-1.8648,0.6016,4.5
5350378.25,-0.2458,0.5872,1.2469,0.5294,4.4286,1.8413,-0.4014,0.3186,-1.2615,0.1242,3.5714
5350378.26,-0.2771,0.5268,1.2483,0.4993,4.25,1.7387,-0.2245,0.3948,-1.4831,0.1065,3.5
5350378.27,0.023,0.5001,1.3976,0.6402,4.6667,1.5302,-0.4873,0.1071,-1.2141,-0.016,3.2222
5350378.28,-0.0595,0.3193,0.5925,0.2841,3.75,1.4613,0.0461,0.3218,-0.9698,0.2148,3.6667
5350400.02,0.8768,1.1011,1.0078,0.9952,4.8889,0.6111,-0.5828,-0.4216,-1.384,-0.4443,1.7778
5350400.03,0.9344,0.7441,0.4991,0.7259,4.5,1.159,-0.0749,-0.1084,-1.3587,-0.0958,3.0
5350400.04,0.9072,0.0479,-0.0683,0.2956,3.6667,1.2335,0.0139,-0.5374,-0.6234,0.0216,3.3333
5350400.06,0.9667,1.0454,0.1458,0.7193,4.8333,0.2565,-0.2381,-0.6791,-1.3008,-0.4904,1.8333
5350400.07,1.1989,0.7059,0.203,0.7026,4.5714,0.3249,-0.2986,-0.8616,-0.8223,-0.4144,1.8571
5350400.08,0.5049,-0.3273,-0.8147,-0.2124,2.6,1.568,1.5702,-0.5807,-0.3819,0.5439,4.2
5350400.11,-0.1348,0.4502,1.1575,0.491,4.3333,2.3861,-0.0083,0.5116,-1.9349,0.2386,4.0
5350400.12,0.4419,0.5685,0.5823,0.5309,4.4545,1.6204,0.1102,-0.2064,-1.2635,0.0652,3.2727
5350400.13,-0.3789,-0.1024,1.414,0.3109,4.0,2.4808,-0.3035,0.5548,-1.2373,0.3737,4.0
5350400.14,-0.4921,0.2258,0.7098,0.1478,3.6,2.4982,0.2009,0.9908,-1.9761,0.4285,4.3
5350400.15,1.0741,0.9201,0.256,0.75,4.7143,0.3696,-0.3906,-0.6968,-0.9623,-0.42,2.0
5350400.16,0.2367,0.9917,1.2383,0.8222,4.8,1.6257,-0.3319,-0.2514,-1.6264,-0.146,2.6
5350400.17,-0.4731,-0.1471,0.9629,0.1143,3.25,2.5715,-0.0745,0.8724,-1.4487,0.4802,4.625
5350400.18,-1.1221,-0.2246,0.9257,-0.1404,2.5,3.6564,0.7371,1.4309,-2.5258,0.8247,5.0
5350400.19,0.5886,0.2046,1.679,0.8241,5.0,1.2229,-0.7575,-0.4808,-0.6385,-0.1635,3.0
5350400.20,0.5021,0.126,1.8172,0.8151,5.0,1.8561,-0.7472,-0.2944,-1.0086,-0.0485,3.0
5350400.21,0.5856,-0.4418,1.6095,0.5844,5.0,1.8701,-0.8612,-0.1539,-0.2075,0.1619,4.0
5350400.22,0.1919,0.6348,1.5732,0.8,5.0,1.5239,-0.4855,-0.1191,-1.3668,-0.1119,3.0
5350400.23,0.2449,0.5052,1.3875,0.7125,4.5,1.8395,-0.4517,0.0449,-1.3012,0.0329,3.0
5350401.04,0.0011,0.4055,-0.3014,0.0351,3.0,2.6541,0.4237,0.7023,-2.1233,0.4142,4.3333
5350401.05,0.9011,-1.6052,1.1979,0.1646,3.0,3.4285,0.2619,-0.933,1.1346,0.973,5.0
5350401.06,1.5082,0.4995,0.466,0.8246,4.8333,2.2387,-0.0315,-0.2866,-1.9878,-0.0168,3.3333
